Field;Tag;Name;Format;;0100;0100;0110;;0400;0410;Format;0306;0146;0506;0604;0360;0804;Format;from;to;Template;Tag;Mand;Description;Origin;Method
1;;Pr�sence deuxi�me bitmap;b8;1;C(1);C(1);C(1);1;C(1);C(1);;1;1;1;1;1;1;;;;;;;;;
2;;Num�ro de porteur;LLVAR n...19;2;X;X;XQ;2;XQI;XQ;LVAR n...19;;2;;;;;n...19;;;70 or 77 ;5A;X;Application Primary Account Number (PAN);Card;primitive
3;;Code de traitement;n6;3;X;X;XQ;3;XQI;XQ;n2 n2 n2;;3;;;;;n2;;;;9C;;Transaction Type;Pos;primitive
4;;Montant de la transaction;n12;4;X;X;X;4;X;XQ;n12;;4;;;;;n12;;;;9F02;;Amount  Authorised (Numeric);Terminal;constructed
7;;Date et heure de transmission;MMJJhhmmss n10;7;C(117);C(117);;7;XS;FS;MMJJhhmmss n10;;;;;;;MMJJhhmmss n10;;;;DF5A;;Transmission Date and Time;Application;constructed
11;;Num�ro d'audit;n6;11;XS;XS;XQ;11;XS;XQ;n6;11;11;11;11;11;11;n6;;;;9F41;;Transaction Sequence Counter;Pos;constructed
12;;Heure locale de la transaction;hhmmss n6;12;XS;XS;FQ;12;XS;FQ;hhmmss n6;12;12;12;;;12;n6;;;;9F21;;Transaction Time;Pos;constructed
13;;Date locale de la transaction;MMJJ n4;13;XS;XS;FQ;13;XS;FQ;MMJJ n4;13;13;13;;;13;n6;2;6;;9A;;Transaction Date;Pos;constructed
14;;Date d'expiration ;AAMM n4;14;;X;FQ;14;CQI(104);FQ;AAMM n4;;14;;;;;b...19;17;21;70 or 77 ;57;;Track 2 Equivalent Data;Card;primitive
18;;Code activit� de l'accepteur;n4;18;X;X;FQ;18;XQI;FQ;n4;18;;;;;;n4;;;;9F15;;Merchant Category Code (MCC);Terminal;primitive
21;;Code capacit� du point d'acceptation ;;;;;;;;;an6;;;;21;;;;;;;;;;;
22;;Mode de lecture du syst�me d'acceptation;n3;22;X;X;FQ;22;XQI;FQ;n3;;22;;;;;n2;;;;9F39;;Point-of-Service (POS) Entry Mode;Pos;constructed
23;;Num�ro s�quentiel de la carte;n3;23;C(84);;CQ(84);23;CQ(9);;n3;;23;;;;;n2;;;70 or 77 ;5F34;;Application Primary Account Number (PAN) Sequence Number (PSN);Card;primitive
24;;Code fonction;;;;;;;;;n3;;;;24;24;24;;;;;;;;;
25;;Conditions de la transaction au point de service /Code Raison ;n2;25;X;X;FQ;25;XQI;FQ;n2;;;;;;25;;;;;;;;;
26;;Contr�le transfert Accepteur-Acqu�reur;;;;;;;;;n6;26;26;;26;;;;;;;;;;;
27;;Longueur du num�ro d'autorisation;n1;27;C(7);C(7);;;;;n6;;;;;27;;;;;;;;;;
31;;Donn�es � imprimer/afficher;;;;;;;;;LVAR ansc...255;31;;31;;;31;;;;;;;;;
31;01;Impression ;;;;;;;;;;01;;01;;;01;;;;;;;;;
31;02;Affichage ;;;;;;;;;;02;;02;;;02;;;;;;;;;
31;03;Impression et affichage ;;;;;;;;;;03;;03;;;03;;;;;;;;;
31;07;Impression pour l'accepteur uniquement;;;;;;;;;;07;;07;;;07;;;;;;;;;
31;08;Affichage pour l'accepteur uniquement;;;;;;;;;;08;;08;;;08;;;;;;;;;
31;09;Impression et affichage pour l'accepteur;;;;;;;;;;09;;09;;;09;;;;;;;;;
32;;Identification de l'organisme acqu�reur;LLVAR n...11;32;X;X;XQ;32;XQI;XQ;LVAR n...11;;;;;;32;n6...11;;;;9F01;;Acquirer Identifier;Terminal;primitive
33;;Identification de l'organisme transmetteur;LLVAR n...11;33;C(21);C(21);FQ;33;C(21);FQ;LVAR n...11;;;;;;;;;;;;;;;
35;;Piste ISO 2;LLVAR b...37;35;C(12);C(128);;;;;LVAR z...37;;35;;;;;b...19;;;70 or 77 ;57;;Track 2 Equivalent Data;Card;primitive
37;;Num�ro de r�f�rence d'archivage;an12;37;F;F;C(79);37;CRI(116);FQ;anp12;;37;;;;;;;;;;;;;
38;;Autorisation  r�ponse d'identification ;an6;38;;;C(10);38;CRI(10);;an6;;38;;;;;;;;;;;;;
39;;*Code r�ponse . . Code Action pour TLC;an2;39;;;XS;39;XS;XS;an4;39;39;39;39;39;39;;;;;;;;;
40;;Code service ;;;;;;;;;n3;;40;;;;;;;;;;;;;
41;;IDSA (IDentification du Syst�me d'Acceptation);ans8;41;X;X;XQ;41;XQI;XQ;ans8;;;;;;41;an8;;;;9F1C;;Terminal Identification;Terminal;primitive
42;;Identification de l'accepteur de carte  ;ans15;42;X;X;XQ;42;XQI;XQ;ans15;;;;;;42;ans15;;;;9F16;;Merchant Identifier;Terminal;primitive
43;;Nom et adresse de l'accepteur de carte;ans40;43;F;F;FQ;43;FQI;FQ;ans40;;43;;;;;ans...40;;;;9F4E;;Merchant Name and Location;Terminal;primitive
44;;Donn�es compl�mentaires de r�ponse;LLVAR ans...25;44;;;C(2);44;;C(2);LVAR ans...99;44;44;44;44;44;44;;;;;;;;;
44;AA;Champ erron�;ans4...8;AA;;;C(69);AA;;C(106);ans3...7;AA;AA;AA;AA ;AA;AA;;;;;;;;;
44;AB ;Erreur de s�curit�;ans5;AB ;;;C(12);AB ;;C(12);;;;;;;;;;;;;;;;
44;AC ;Conversion de champ;ans...21;AC ;;;F;AC ;;F;ans...21;;AC;;;;;;;;;;;;;
44;AF ;Code activation service;ans1;AF ;;;F;AF ;;F;;;;;;;AF;;;;;;;;;
44;BB ;Num�ro de t�l�phone ;ans...21;BB ;;;F;;;;;;;;;;;;;;;;;;;
44;BC ;Message � destination de l'initiateur de la transaction;ans...21;BC ;;;F;BC ;;F;ans...21;;BC;;;;;;;;;;;;;
44;CA ;Informations relatives au traitement du CVV/CVC;ans1;CA ;;;C(12);;;;;;;;;;;;;;;;;;;
44;CB ;Informations relatives au contr�le du cryptogramme ;ans1;CB ;;;C(12);;;;;;;;;;;;;;;;;;;
44;AH;Code gestion de transfert;;;;;;;;;n2;;AH;AH;;AH;;;;;;;;;;
44;AI;Code gestion de dialogue;;;;;;;;;n1;;;;;;AI;;;;;;;;;
44;AE;Code r�ponse de l'ouverture de dialogue et service;;;;;;;;;n2;;;;;;AE;;;;;;;;;
46;;Configuration du Syst�me et des Points d'Acceptation;;;;;;;;;LVAR ansb...255;;46;;46;;46;;;;;;;;;
46;DF5F;Num�ro de contrat accepteur;;;;;;;;;ans7;;;;;;DF5F;;;;;;;;;
46;DF51;Num�ro logique du syst�me d'acceptation.;;;;;;;;;ans3;;;;;;DF51;;;;;;;;;
46;DF5B;Num�ro logique du point d'acceptation;;;;;;;;;ans3;;DF5B;;DF5B;;;;;;;;;;;
46;DF5E;IDSA (IDentification du Syst�me d'Acceptation);;;;;;;;;ans8;;;;DF5E;;DF5E;;;;;;;;;
46;DF5C;IDPA (Identification du Point d'Acceptation) ;;;;;;;;;ans8;;DF5C;;DF5C;;;;;;;;;;;
46;DF5D;SIRET;;;;;;;;;ans14;;;;;;DF5D;;;;;;;;;
46;DF50;ITPSA (ITP du syst�me d'acceptation );;;;;;;;;ans12;;;;DF50;;DF50;;;;;;;;;
46;DF96;Informations sur le point d'acceptation ;;;;;;;;;n1;;DF96;;DF96;;;;;;;;;;;
46;DF97; Niveau d'agr�ment PCI PED;;;;;;;;;ans3;;DF97;;DF97;;;;;;;;;;;
46;DF52;Type d'architecture du syst�me d'acceptation;;;;;;;;;ans2;;;;DF52;;DF52;;;;;;;;;
46;DF54;Statut de l'application;;;;;;;;;ans1;;;;DF54;;DF54;;;;;;;;;
